,vertex,start_time,end_time,processor,duration
25,MERGED_LIB_BAM_00000068,8241873.07348906,9163275.39848906,32,921402.3250000002
26,MERGED_LIB_BAM_00000009,8241873.07348906,9163275.39848906,35,921402.3250000002
27,MERGED_LIB_BAM_00000107,8241873.07348906,9163275.39848906,31,921402.3250000002
28,MERGED_LIB_BAM_00000146,8241873.07348906,9163275.39848906,33,921402.3250000002
29,MERGED_LIB_BAM_00000185,8241873.07348906,9163275.39848906,34,921402.3250000002
30,MAKE_GENOME_FILTER_00000092,0.0,58022.3625,7,58022.3625
31,MAKE_GENOME_FILTER_00000053,0.0,58022.3625,6,58022.3625
32,MAKE_GENOME_FILTER_00000131,58022.3625,116044.725,30,58022.3625
33,MAKE_GENOME_FILTER_00000028,58022.3625,116044.725,11,58022.3625
34,MAKE_GENOME_FILTER_00000170,58022.3625,116044.725,10,58022.3625
35,MERGED_LIB_BAM_FILTER_00000088,9163275.39848906,9842655.42348906,31,679380.0250000004
36,MERGED_LIB_BAM_FILTER_00000030,9163275.39848906,9842655.42348906,35,679380.0250000004
37,MERGED_LIB_BAM_FILTER_00000166,9163275.39848906,9842655.42348906,34,679380.0250000004
38,MERGED_LIB_BAM_FILTER_00000127,9163275.39848906,9842655.42348906,33,679380.0250000004
39,MERGED_LIB_BAM_FILTER_00000049,9163275.39848906,9842655.42348906,32,679380.0250000004
40,MERGED_LIB_BAM_REMOVE_ORPHAN_00000078,13339480.1898963,13731614.6773963,32,392134.4874999989
41,MERGED_LIB_BAM_REMOVE_ORPHAN_00000117,13339480.1898963,13731614.6773963,31,392134.4874999989
42,MERGED_LIB_BAM_REMOVE_ORPHAN_00000011,13339480.1898963,13731614.6773963,35,392134.4874999989
43,MERGED_LIB_BAM_REMOVE_ORPHAN_00000195,13339480.1898963,13731614.6773963,34,392134.4874999989
44,MERGED_LIB_BAM_REMOVE_ORPHAN_00000156,13339480.1898963,13731614.6773963,33,392134.4874999989
45,MERGED_LIB_MACS2_00000051,25216717.6014969,25601677.7889969,30,384960.1875
46,MERGED_LIB_MACS2_00000090,25999740.2143736,26384700.4018736,35,384960.1875
47,MERGED_LIB_MACS2_00000129,25999740.2143736,26384700.4018736,34,384960.1875
48,MERGED_LIB_MACS2_00000014,31047047.3524852,31432007.5399852,30,384960.1875
49,MERGED_LIB_MACS2_00000168,31730377.6692413,32115337.8567413,33,384960.1875
