,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
174,bismark_methXtract_00000136,510641450.771027,510633810.846027,11,7639.925000011921,561395007.595863,561425567.295863,24,30559.700000047684
175,bismark_methXtract_00000148,513248073.983844,513240434.058843,11,7639.925000965595,624945661.792538,624986408.059204,15,40746.266665935516
176,bismark_methXtract_00000160,509887408.538596,509879768.613596,11,7639.924999952316,624945849.775056,624986596.041723,12,40746.2666670084
177,bismark_methXtract_00000172,512154631.846344,512146991.921344,11,7639.925000011921,651329215.292855,651336855.217855,32,7639.924999952316
178,bismark_methXtract_00000184,512154452.26778,512146812.34278,9,7639.925000011921,628845769.611808,628853409.536808,31,7639.925000071526
179,bismark_methXtract_00000196,509887228.960033,509879589.035033,9,7639.925000011921,624945666.509217,624986412.775884,13,40746.2666670084
180,bismark_methXtract_00000208,504453737.746027,504446097.821027,11,7639.925000011921,624945662.844013,624976222.544013,25,30559.700000047684
181,bismark_methXtract_00000220,507060360.958844,507052721.033844,11,7639.925000011921,615156480.3593,615197226.625967,13,40746.2666670084
182,bismark_methXtract_00000232,503699695.513596,503692055.588596,11,7639.925000011921,624966036.753744,624986409.887077,22,20373.133332967758
183,bismark_methXtract_00000244,505966918.821344,505959278.896344,11,7639.925000011921,628845589.421308,628853229.346308,6,7639.924999952316
184,bismark_methXtract_00000256,505966739.24278,505959099.31778,9,7639.925000011921,647429286.971657,647436926.896657,35,7639.924999952316
185,bismark_methXtract_00000268,503699515.935033,503691876.010033,9,7639.925000011921,620051073.010464,620091819.277131,14,40746.2666670084
186,bismark_methXtract_00000280,498266024.721027,498258384.796027,11,7639.925000011921,620051072.437953,620081632.137953,29,30559.700000047684
187,bismark_methXtract_00000292,500872647.933844,500865008.008844,11,7639.924999952316,606361960.904252,606392520.604252,27,30559.699999928474
188,bismark_methXtract_00000304,499779026.21778,499771386.29278,9,7639.925000011921,615156483.65588,615187043.35588,28,30559.700000047684
189,bismark_methXtract_00000316,499779205.796344,499771565.871344,11,7639.925000011921,624945663.62041,624966036.753744,22,20373.13333404064
190,bismark_methXtract_00000328,493591313.19278,493583673.26778,9,7639.925000011921,624945665.244397,624966038.37773,23,20373.133332967758
191,bismark_methXtract_00000340,497511982.488596,497504342.563596,11,7639.925000011921,606362266.046325,606423385.446325,5,61119.39999997616
192,bismark_methXtract_00000352,497511802.910033,497504162.985033,9,7639.925000011921,624945967.595148,624976527.295148,26,30559.700000047684
193,bismark_methXtract_00000364,494684934.908844,494677294.983844,11,7639.925000011921,620051071.075919,620091817.342586,13,40746.2666670084
194,bismark_methXtract_00000376,491324269.463596,491316629.538596,11,7639.925000011921,624966038.37773,624986411.511063,23,20373.133332967758
195,bismark_methXtract_00000388,493591492.771344,493583852.846344,11,7639.925000011921,624966035.129757,624986408.263091,21,20373.133333921432
196,bismark_methXtract_00000400,492078311.696027,492070671.771027,11,7639.924999952316,624945846.109851,624976405.809851,27,30559.700000047684
