vertex,start_time_dyn,duration_dyn,processor_dyn,start_time_stat,duration_stat,processor_stat
bismark_align_00000795,451363120.608466,6187713.024999976,33,423103455.15242,7599916.058305025,31
bismark_deduplicate_00000849,451363121.008844,182.79999995231628,11,624945476.932846,487.4666670560837,19
preseq_00000851,451363121.164123,182.80000001192093,10,647439896.360072,974.9333339929581,14
bismark_methXtract_00000844,451363303.808844,7639.925000011921,11,624945964.399513,20373.133332967758,19
qualimap_00000841,451363304.33357,2488.824999988079,10,625006784.187745,19910.600000023842,0
bismark_summary_00000842,451370943.978942,182.80000001192093,10,647439895.519659,731.1999999284744,26
multiqc_00000845,451371825.332739,182.80000001192093,9,651337587.439351,182.80000007152557,11
bismark_deduplicate_00000789,454944210.821027,182.80000001192093,11,620050885.684282,182.80000007152557,6
preseq_00000791,454944210.976306,182.79999995231628,10,642546725.113993,1462.3999999761581,0
bismark_methXtract_00000784,454944393.621027,7639.925000011921,11,624966337.377566,20373.13333404064,18
qualimap_00000781,454944394.145753,2488.824999988079,10,628845592.636746,13273.733333945274,16
bismark_summary_00000782,454952033.791125,182.80000001192093,10,642548187.203434,1462.3999999761581,2
bismark_report_00000786,454952037.307138,877.7249999642372,11,642534722.640765,2340.600000023842,21
multiqc_00000785,454952915.144924,182.80000001192093,10,651337527.198891,487.4666659832001,20
bismark_align_00000687,456457208.695966,6187713.024999976,31,577690433.091098,6187713.025000095,31
bismark_deduplicate_00000777,456457209.096344,182.80000001192093,9,628845404.566819,182.80000007152557,9
bismark_deduplicate_00000765,456457209.096344,182.80000001192093,11,606361775.530114,487.4666669368744,20
preseq_00000779,456457209.251623,182.80000001192093,8,651337038.32906,182.80000007152557,34
preseq_00000767,456457209.251623,182.80000001192093,10,642561348.958713,1462.3999999761581,1
bismark_deduplicate_00000825,456457391.896344,182.80000001192093,9,628845404.41154,182.79999995231628,10
bismark_deduplicate_00000813,456457391.896344,182.80000001192093,11,620050885.529002,182.80000007152557,7
preseq_00000815,456457392.051623,182.80000001192093,10,642549649.758714,1462.4000000953674,1
preseq_00000827,456457392.051623,182.80000001192093,8,651337039.19463,182.79999995231628,10
qualimap_00000757,456457394.045056,2488.824999988079,6,625046605.387745,19910.600000977516,0
bismark_methXtract_00000760,456457395.117781,7639.925000011921,7,606362265.025088,30559.700000047684,29
qualimap_00000769,456457574.696344,2488.824999988079,9,628845587.796877,9955.299999952316,29
qualimap_00000805,456457576.845056,2488.824999988079,8,624986596.041723,13273.7333329916,12
bismark_methXtract_00000808,456457577.917781,7639.925000011921,10,620051070.969246,30559.699999928474,28
bismark_methXtract_00000820,456459882.870056,7639.925000011921,6,628845587.21154,7639.924998998642,10
qualimap_00000817,456460063.521344,2488.824999988079,9,628845587.641598,6636.866665959358,19
bismark_summary_00000758,456465035.287879,182.80000001192093,9,642564273.913993,1462.3999999761581,0
bismark_report_00000762,456465038.803891,877.7250000238419,7,628865500.384581,7021.800000071526,2
bismark_summary_00000806,456465218.332977,182.80000001192093,9,642551112.313993,1462.3999999761581,0
bismark_report_00000810,456465221.603891,877.7249999642372,10,642534713.109503,2340.600000023842,18
multiqc_00000773,456466096.220241,182.80000001192093,8,651337346.399146,487.4666659832001,19
multiqc_00000809,456466099.441677,182.80000001192093,11,651337587.039619,182.80000007152557,31
bismark_summary_00000818,456467523.040154,182.80000001192093,11,651337039.039351,182.80000007152557,11
bismark_report_00000822,456467526.556167,877.7249999642372,6,651329227.381689,877.7250000238419,30
bismark_align_00000723,457550833.633466,6187713.024999976,33,487755917.922089,6187713.025000036,32
bismark_deduplicate_00000801,457550834.033844,182.80000001192093,11,606361775.374835,487.4666669368744,19
preseq_00000803,457550834.189123,182.80000001192093,10,642556961.913993,1462.3999999761581,0
bismark_methXtract_00000796,457551016.833844,7639.925000011921,11,606362265.28704,40746.2666670084,16
qualimap_00000793,457551017.35857,2488.8250000476837,10,624986599.289695,13273.733333945274,17
bismark_summary_00000794,457558657.003942,182.80000001192093,10,642545262.248155,1462.3999999761581,3
bismark_report_00000798,457558660.519954,877.7249999642372,11,628858862.12722,4681.199999928474,12
multiqc_00000797,457559538.35774,182.80000001192093,10,651337222.371936,731.2000000476837,28
bismark_deduplicate_00000717,461131923.846027,182.80000001192093,11,624945476.090342,182.79999995231628,9
preseq_00000719,461131924.001306,182.80000001192093,10,647439897.563527,1462.3999999761581,5
bismark_methXtract_00000712,461132106.646027,7639.924999952316,11,624945661.695052,61119.39999997616,5
qualimap_00000709,461132107.170753,2488.824999988079,10,628845588.393887,13273.7333329916,12
bismark_summary_00000710,461139746.816125,182.80000001192093,10,647440871.138126,974.9333339929581,13
bismark_report_00000714,461139750.332138,877.7250000238419,11,647436967.414429,2340.600000023842,19
multiqc_00000713,461140628.169923,182.80000001192093,10,651329732.605758,487.4666670560837,23
bismark_align_00000615,462644921.720966,6187713.025000036,31,523928656.468777,6187713.024999976,33
bismark_deduplicate_00000693,462644922.121344,182.80000001192093,11,628845587.05626,182.79999995231628,11
bismark_deduplicate_00000705,462644922.121344,182.80000001192093,9,628845404.25626,182.79999995231628,11
preseq_00000707,462644922.276623,182.80000001192093,8,651337038.794898,182.79999995231628,30
preseq_00000695,462644922.276623,182.80000001192093,10,642577435.513993,1462.3999999761581,0
bismark_align_00000675,462645104.520966,6187713.025000036,34,555206804.298846,6187713.024999976,30
bismark_deduplicate_00000741,462645104.921344,182.80000001192093,11,628845586.500603,182.80000007152557,30
bismark_deduplicate_00000753,462645104.921344,182.80000001192093,9,628845404.722099,182.80000007152557,8
preseq_00000743,462645105.076623,182.79999995231628,10,647437946.338126,974.9333341121674,13
qualimap_00000685,462645107.070056,2488.824999988079,6,628858865.244022,6636.866665959358,18
bismark_methXtract_00000688,462645108.142781,7639.924999952316,7,628853227.291819,7639.925000071526,9
qualimap_00000697,462645287.721344,2488.824999988079,9,628860867.527378,2488.8250000476837,7
bismark_methXtract_00000700,462645287.721344,7639.925000011921,11,628845769.85626,7639.925000071526,11
qualimap_00000733,462645289.870056,2488.8250000476837,8,628855547.604261,9955.299999952316,26
bismark_methXtract_00000736,462645290.942781,7639.925000011921,10,628845769.300603,7639.924999952316,30
bismark_methXtract_00000748,462647595.895056,7639.925000011921,6,628845587.522099,7639.924998998642,8
qualimap_00000745,462647776.546344,2488.824999988079,9,628861049.150603,2488.8249999284744,30
bismark_summary_00000686,462652748.312879,182.79999995231628,9,647441357.76438,731.2000000476837,25
bismark_summary_00000698,462652927.891442,182.80000001192093,8,651337038.639619,182.79999995231628,31
bismark_summary_00000734,462652931.357977,182.80000001192093,9,642575972.958713,1462.3999999761581,1
bismark_report_00000702,462652931.407454,877.7250009775162,11,651329224.998874,877.7250000238419,31
bismark_report_00000738,462652934.628891,877.7250000238419,10,628868224.371941,4681.200000047684,13
multiqc_00000689,462653629.666677,182.80000001192093,9,651330111.31246,487.4666670560837,20
multiqc_00000701,462653809.245241,182.80000001192093,8,651337222.615748,182.79999995231628,6
multiqc_00000737,462653812.466677,182.80000001192093,11,647442089.430218,731.2000000476837,28
bismark_summary_00000746,462655236.065154,182.80000001192093,11,651336857.015748,182.79999995231628,6
bismark_report_00000750,462655239.581167,877.7250000238419,6,651329240.664154,877.7249999046326,10
