,size,wf_name,inp_size,relation,ratio,algorithm
212,20000,atacseq_20000.dot,11187378708,internal,0.9318562303609271,MeDiH-BL
213,4000,methylseq_4000.dot,22500260922,internal,0.23590427099235803,MeDiH-BL
214,15000,atacseq_15000.dot,2223941232,internal,1.1846873576343442,MeDiH-BL
215,8000,atacseq_8000.dot,2223941232,internal,1.3266324257057818,MeDiH-BL
216,200,chipseq_200.dot,41366257414,internal,0.9978727446657374,MeDiH-BL
217,200,eager_200.dot,19132169434,internal,2.3107514219345804,MeDiH-BL
218,25000,chipseq_25000.dot,4807293396,internal,0.9402332573831917,MeDiH-BL
219,4000,atacseq_4000.dot,2223941232,internal,1.2655942600503727,MeDiH-BL
220,10000,chipseq_10000.dot,41366257414,internal,0.4382776428326104,MeDiH-BL
221,4000,chipseq_4000.dot,4605965334,internal,1.0926623865568958,MeDiH-BL
222,10000,atacseq_10000.dot,2223941232,internal,1.230820687936758,MeDiH-BL
223,25000,chipseq_25000.dot,3793245764,internal,1.096499593102912,MeDiH-BL
224,25000,methylseq_25000.dot,17027257018,internal,0.20464877232509035,MeDiH-BL
225,30000,eager_30000.dot,19132169434,internal,0.6264808055984226,MeDiH-BL
226,2000,eager_2000.dot,8330435694,internal,1.3155274449433465,MeDiH-BL
227,30000,chipseq_30000.dot,5058052541,internal,1.0125356060400008,MeDiH-BL
228,4000,methylseq_4000.dot,11897958606,internal,0.28143246167336755,MeDiH-BL
229,4000,chipseq_4000.dot,4807293396,internal,0.9724984406860249,MeDiH-BL
230,200,eager_200.dot,14754556884,internal,1.7971437921674356,MeDiH-BL
231,15000,methylseq_15000.dot,22500260922,internal,0.21246507471682752,MeDiH-BL
232,20000,chipseq_20000.dot,32978181418,internal,0.5235918593753343,MeDiH-BL
233,2000,methylseq_2000.dot,6273818718,internal,0.8224410260706315,MeDiH-BL
234,1000,methylseq_1000.dot,17027257018,internal,1.0388366558263564,MeDiH-BL
235,25000,eager_25000.dot,19100037384,internal,0.647778877044708,MeDiH-BL
236,8000,chipseq_8000.dot,4605965334,internal,0.981516952565635,MeDiH-BL
237,2000,atacseq_2000.dot,2223941232,internal,1.4358335923373893,MeDiH-BL
238,200,methylseq_200.dot,6273818718,internal,1.0002783669782727,MeDiH-BL
239,8000,atacseq_8000.dot,11187378708,internal,1.0463285548262269,MeDiH-BL
240,100,methylseq,8885797810,internal,1.000000000217842,MeDiH-BL
241,10000,methylseq_10000.dot,22500260922,internal,0.21422606497923222,MeDiH-BL
242,1000,methylseq_1000.dot,6761426956,internal,1.190318530739148,MeDiH-BL
243,2000,chipseq_2000.dot,3793245764,internal,1.0552770723968068,MeDiH-BL
244,25000,methylseq_25000.dot,22500260922,internal,0.20649936593165644,MeDiH-BL
245,30000,chipseq_30000.dot,3793245764,internal,0.9933549004279761,MeDiH-BL
246,1000,methylseq_1000.dot,8885797810,internal,0.8133875518381705,MeDiH-BL
247,10000,methylseq_10000.dot,17027257018,internal,0.21697372797287698,MeDiH-BL
248,200,eager_200.dot,8330435694,internal,2.4257874689658885,MeDiH-BL
249,10000,chipseq_10000.dot,4807293396,internal,0.9743937547298116,MeDiH-BL
250,30000,atacseq_30000.dot,14091675276,dyn_vs_base,5.7968948095251225,MeDiH-BL
251,15000,chipseq_15000.dot,41366257414,dyn_vs_base,2.7348688106098797,MeDiH-BL
252,15000,methylseq_15000.dot,6761426956,dyn_vs_base,2.5577588751725937,MeDiH-BL
253,15000,atacseq_15000.dot,3908761308,dyn_vs_base,15.033867145096563,MeDiH-BL
254,1000,eager_1000.dot,25705994498,dyn_vs_base,1.2715097021080621,MeDiH-BL
255,20000,eager_20000.dot,8330435694,dyn_vs_base,4.859910315933558,MeDiH-BL
256,25000,eager_25000.dot,14754556884,dyn_vs_base,3.899787718277875,MeDiH-BL
257,1000,methylseq_1000.dot,110641579976,dyn_vs_base,1.1703509727239496,MeDiH-BL
258,200,chipseq_200.dot,5058052541,dyn_vs_base,5.548034050630694,MeDiH-BL
259,30000,atacseq_30000.dot,11809629756,dyn_vs_base,8.108470293597902,MeDiH-BL
260,1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7804600037092232,MeDiH-BL
261,4000,chipseq_4000.dot,41366257414,dyn_vs_base,2.5979736125917694,MeDiH-BL
262,2000,atacseq_2000.dot,14091675276,dyn_vs_base,7.752171397138652,MeDiH-BL
263,1000,atacseq_1000.dot,11809629756,dyn_vs_base,4.479022297306247,MeDiH-BL
264,200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669994943962068,MeDiH-BL
265,30000,methylseq_30000.dot,110641579976,dyn_vs_base,1.358197840098169,MeDiH-BL
266,8000,methylseq_8000.dot,110641579976,dyn_vs_base,1.3715033430191312,MeDiH-BL
267,20000,methylseq_20000.dot,6761426956,dyn_vs_base,2.413228401098269,MeDiH-BL
268,8000,atacseq_8000.dot,3908761308,dyn_vs_base,13.263804893003863,MeDiH-BL
269,8000,methylseq_8000.dot,17027257018,dyn_vs_base,2.376400503952285,MeDiH-BL
270,10000,atacseq_10000.dot,14091675276,dyn_vs_base,7.075074712453224,MeDiH-BL
271,20000,atacseq_20000.dot,11809629756,dyn_vs_base,8.71485197104567,MeDiH-BL
272,30000,atacseq_30000.dot,3908761308,dyn_vs_base,15.373654681831924,MeDiH-BL
273,2000,eager_2000.dot,25705994498,dyn_vs_base,1.7433801421973951,MeDiH-BL
274,1000,eager_1000.dot,14754556884,dyn_vs_base,3.0099000125371194,MeDiH-BL
275,30000,atacseq_30000.dot,11187378708,dyn_vs_base,8.176323086700842,MeDiH-BL
276,10000,methylseq_10000.dot,8885797810,dyn_vs_base,2.6380634495537025,MeDiH-BL
277,4000,atacseq_4000.dot,11809629756,dyn_vs_base,8.819011103454882,MeDiH-BL
278,1000,atacseq_1000.dot,14091675276,dyn_vs_base,4.451898176804609,MeDiH-BL
279,4000,methylseq_4000.dot,6273818718,dyn_vs_base,2.2908070257665307,MeDiH-BL
280,1000,chipseq_1000.dot,4605965334,dyn_vs_base,14.844683839308601,MeDiH-BL
281,200,atacseq_200.dot,11809629756,dyn_vs_base,0.2709334771067582,MeDiH-BL
282,8000,eager_8000.dot,19075314980,dyn_vs_base,3.471070044537857,MeDiH-BL
283,10000,methylseq_10000.dot,110641579976,dyn_vs_base,1.4309400107985257,MeDiH-BL
284,2000,methylseq_2000.dot,22500260922,dyn_vs_base,2.1274877482146564,MeDiH-BL
285,200,chipseq_200.dot,32978181418,dyn_vs_base,0.9638168780750508,MeDiH-BL
286,2000,chipseq_2000.dot,4605965334,dyn_vs_base,16.051324139849875,MeDiH-BL
287,30000,methylseq_30000.dot,8885797810,dyn_vs_base,2.497380854333933,MeDiH-BL
288,20000,eager_20000.dot,19075314980,dyn_vs_base,3.5100459205066903,MeDiH-BL
289,8000,atacseq_8000.dot,11809629756,dyn_vs_base,10.158255045446037,MeDiH-BL
290,30000,eager_30000.dot,19100037384,dyn_vs_base,3.93462979234093,MeDiH-BL
291,200,chipseq_200.dot,4807293396,dyn_vs_base,5.21367832660726,MeDiH-BL
292,200,chipseq_200.dot,3793245764,dyn_vs_base,7.036254382918018,MeDiH-BL
293,8000,eager_8000.dot,19132169434,dyn_vs_base,3.3798359222569743,MeDiH-BL
