vertex start_time finish_time proc_num
fastqc_00000644 20701.9355555556 25877.4194444444 23
fastqc_00000968 25877.4194444444 31052.9033333333 18
fastqc_00000632 25877.4194444444 31052.9033333333 19
fastqc_00000980 25877.4194444444 31052.9033333333 20
fastqc_00000680 25877.4194444444 31052.9033333333 21
fastqc_00000992 25877.4194444444 31052.9033333333 22
fastqc_00000608 25877.4194444444 31052.9033333333 23
fastqc_00000596 23289.6775 31052.9033333333 29
fastqc_00001004 15526.4516666667 31052.9033333333 5
fastqc_00001016 15526.4516666667 31052.9033333333 4
fastqc_00000584 15526.4516666667 31052.9033333333 3
fastqc_00001028 15526.4516666667 31052.9033333333 2
fastqc_00000572 15526.4516666667 31052.9033333333 1
fastqc_00000560 15526.4516666667 31052.9033333333 0
fastqc_00000872 23289.6775 31052.9033333333 24
fastqc_00000824 23289.6775 31052.9033333333 25
fastqc_00000800 23289.6775 31052.9033333333 26
fastqc_00000836 23289.6775 31052.9033333333 27
fastqc_00000788 23289.6775 31052.9033333333 28
fastqc_00000776 31052.9033333333 36228.3872222222 18
fastqc_00000848 31052.9033333333 36228.3872222222 19
fastqc_00000764 31052.9033333333 36228.3872222222 20
fastqc_00000860 31052.9033333333 36228.3872222222 21
fastqc_00000752 31052.9033333333 36228.3872222222 22
fastqc_00001040 31052.9033333333 36228.3872222222 23
fastqc_00000740 31052.9033333333 38816.1291666667 29
fastqc_00000884 31052.9033333333 38816.1291666667 24
fastqc_00000728 31052.9033333333 38816.1291666667 25
fastqc_00000896 31052.9033333333 38816.1291666667 26
fastqc_00000716 31052.9033333333 38816.1291666667 27
fastqc_00000908 31052.9033333333 38816.1291666667 28
fastqc_00000704 36228.3872222222 41403.8711111111 18
fastqc_00000920 36228.3872222222 41403.8711111111 19
fastqc_00000692 36228.3872222222 41403.8711111111 20
fastqc_00001208 36228.3872222222 41403.8711111111 21
fastqc_00001160 36228.3872222222 41403.8711111111 22
fastqc_00000416 36228.3872222222 41403.8711111111 23
fastqc_00001172 38816.1291666667 46579.355 29
fastqc_00000404 31052.9033333333 46579.355 5
fastqc_00001184 31052.9033333333 46579.355 4
fastqc_00000392 31052.9033333333 46579.355 3
fastqc_00001196 31052.9033333333 46579.355 2
fastqc_00000380 31052.9033333333 46579.355 1
fastqc_00000368 31052.9033333333 46579.355 0
fastqc_00000428 41403.8711111111 46579.355 18
fastqc_00000356 41403.8711111111 46579.355 19
fastqc_00001220 41403.8711111111 46579.355 20
fastqc_00000344 41403.8711111111 46579.355 21
fastqc_00001232 41403.8711111111 46579.355 22
